Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Firefox,Chrome 88.0.4324.104,,,2021-02-02 20:32:04,2021-02-02 20:32:27,22.883s,PASSED
,,,,,,,
Test Cases/Login_Negative_Path,Chrome 88.0.4324.104,Logs in using valid credentials,positive,2021-02-02 20:32:05,2021-02-02 20:32:17,12.058s,PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-02-02 20:32:06,2021-02-02 20:32:12,5.951s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 88.0.4324.104,,,2021-02-02 20:32:12,2021-02-02 20:32:13,0.591s,PASSED
"click(findTestObject(""Login_OR/Page_OrangeHRM/span_Username""))",Chrome 88.0.4324.104,,,2021-02-02 20:32:13,2021-02-02 20:32:13,0.488s,PASSED
"setText(findTestObject(""Login_OR/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""root"")",Chrome 88.0.4324.104,,,2021-02-02 20:32:13,2021-02-02 20:32:14,0.770s,PASSED
"setEncryptedText(findTestObject(""Login_OR/Page_OrangeHRM/input_Username_txtPassword""), ""mM0VwRptd7w="")",Chrome 88.0.4324.104,,,2021-02-02 20:32:14,2021-02-02 20:32:15,0.985s,PASSED
"click(findTestObject(""Login_OR/Page_OrangeHRM/input_Password_Submit""))",Chrome 88.0.4324.104,,,2021-02-02 20:32:15,2021-02-02 20:32:16,0.844s,PASSED
"verifyElementText(findTestObject(""Login_OR/Page_OrangeHRM/Invalid_login_alert""), ""Invalid credentials"", CONTINUE_ON_FAILURE)",Chrome 88.0.4324.104,,,2021-02-02 20:32:16,2021-02-02 20:32:16,0.511s,PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-02-02 20:32:16,2021-02-02 20:32:17,1.128s,PASSED
,,,,,,,
Test Cases/Login_Positive_Path,Chrome 88.0.4324.104,Logs in using valid credentials,positive,2021-02-02 20:32:17,2021-02-02 20:32:27,9.110s,PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-02-02 20:32:18,2021-02-02 20:32:21,3.500s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/https://opensource-demo.orangehrmlive.com/"")",Chrome 88.0.4324.104,,,2021-02-02 20:32:21,2021-02-02 20:32:22,0.602s,PASSED
"click(findTestObject(""Login_OR/Page_OrangeHRM/span_Username""))",Chrome 88.0.4324.104,,,2021-02-02 20:32:22,2021-02-02 20:32:23,0.546s,PASSED
"setText(findTestObject(""Login_OR/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""admin"")",Chrome 88.0.4324.104,,,2021-02-02 20:32:23,2021-02-02 20:32:23,0.694s,PASSED
"setEncryptedText(findTestObject(""Login_OR/Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 88.0.4324.104,,,2021-02-02 20:32:23,2021-02-02 20:32:24,0.523s,PASSED
"click(findTestObject(""Login_OR/Page_OrangeHRM/input_Password_Submit""))",Chrome 88.0.4324.104,,,2021-02-02 20:32:24,2021-02-02 20:32:25,1.361s,PASSED
"verifyElementText(findTestObject(""Login_OR/Page_OrangeHRM/a_Welcome Paul""), ""Welcome Paul"", CONTINUE_ON_FAILURE)",Chrome 88.0.4324.104,,,2021-02-02 20:32:25,2021-02-02 20:32:26,0.777s,PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-02-02 20:32:26,2021-02-02 20:32:27,0.611s,PASSED
